iter	Passed	Remaining
0	134	133998
1	135	67618
2	137	45573
3	138	34520
4	140	27898
5	141	23447
6	142	20256
7	144	17867
8	145	16013
9	147	14566
10	148	13377
11	150	12366
12	151	11516
13	153	10824
14	155	10182
15	156	9620
16	157	9122
17	159	8681
18	160	8311
19	162	7961
20	163	7640
21	165	7341
22	166	7076
23	168	6843
24	169	6617
25	171	6411
26	172	6214
27	174	6044
28	175	5872
29	176	5711
30	177	5560
31	179	5416
32	180	5289
33	181	5164
34	183	5049
35	184	4939
36	185	4836
37	187	4740
38	188	4648
39	190	4570
40	192	4493
41	193	4411
42	194	4336
43	196	4268
44	197	4199
45	199	4132
46	200	4066
47	201	4005
48	203	3944
49	211	4026
50	214	3988
51	215	3931
52	217	3881
53	218	3828
54	219	3777
55	221	3730
56	225	3723
57	228	3710
58	230	3669
59	231	3629
60	233	3587
61	234	3547
62	237	3533
63	239	3497
64	241	3472
65	243	3443
66	244	3409
67	246	3374
68	247	3345
69	249	3311
70	252	3304
71	254	3273
72	255	3249
73	257	3219
74	258	3190
75	260	3162
76	261	3134
77	262	3106
78	264	3078
79	265	3050
80	266	3026
81	268	3004
82	269	2974
83	270	2954
84	272	2930
85	273	2908
86	274	2884
87	276	2861
88	277	2843
89	279	2824
90	280	2803
91	281	2783
92	283	2761
93	284	2744
94	286	2727
95	287	2709
96	289	2690
97	290	2672
98	291	2653
99	292	2636
100	294	2619
101	296	2606
102	298	2597
103	300	2589
104	301	2573
105	303	2558
106	305	2548
107	306	2535
108	308	2520
109	309	2506
110	311	2490
111	312	2475
112	313	2460
113	314	2445
114	316	2433
115	317	2419
116	318	2403
117	319	2389
118	320	2375
119	321	2361
120	323	2348
121	324	2333
122	325	2319
123	326	2306
124	327	2293
125	328	2281
126	329	2268
127	331	2257
128	332	2247
129	334	2237
130	335	2227
131	337	2216
132	338	2205
133	339	2195
134	341	2187
135	342	2176
136	344	2167
137	345	2157
138	347	2150
139	348	2143
140	350	2133
141	351	2121
142	352	2111
143	353	2103
144	355	2094
145	356	2085
146	357	2075
147	358	2065
148	360	2056
149	361	2050
150	362	2040
151	364	2031
152	365	2022
153	366	2013
154	367	2004
155	368	1996
156	370	1987
157	371	1978
158	372	1969
159	373	1961
160	374	1950
161	375	1944
162	377	1937
163	378	1929
164	379	1921
165	380	1913
166	381	1905
167	383	1897
168	384	1889
169	385	1881
170	386	1873
171	387	1866
172	388	1858
173	390	1851
174	391	1846
175	392	1839
176	394	1832
177	395	1825
178	396	1818
179	397	1811
180	398	1804
181	399	1797
182	401	1790
183	402	1783
184	403	1777
185	404	1771
186	406	1766
187	407	1761
188	409	1756
189	411	1752
190	412	1747
191	413	1742
192	415	1736
193	416	1731
194	418	1725
195	419	1720
196	420	1714
197	422	1710
198	423	1705
199	425	1700
200	426	1696
201	428	1690
202	429	1686
203	430	1680
204	432	1675
205	433	1671
206	434	1666
207	436	1663
208	438	1659
209	439	1655
210	441	1650
211	443	1646
212	444	1642
213	445	1637
214	447	1633
215	449	1629
216	451	1628
217	452	1623
218	454	1619
219	455	1614
220	457	1612
221	459	1608
222	460	1604
223	461	1600
224	463	1595
225	464	1591
226	466	1587
227	467	1583
228	468	1578
229	470	1574
230	472	1571
231	473	1567
232	474	1563
233	476	1559
234	477	1555
235	479	1551
236	480	1548
237	482	1544
238	484	1541
239	485	1537
240	487	1534
241	488	1531
242	490	1527
243	492	1524
244	493	1520
245	494	1517
246	496	1512
247	497	1508
248	498	1503
249	500	1500
250	502	1499
251	503	1495
252	505	1492
253	507	1489
254	508	1485
255	509	1481
256	511	1477
257	512	1473
258	513	1469
259	515	1465
260	516	1462
261	517	1458
262	519	1455
263	520	1451
264	522	1448
265	523	1444
266	525	1441
267	526	1438
268	527	1434
269	529	1430
270	530	1427
271	532	1424
272	533	1420
273	535	1417
274	536	1413
275	537	1410
276	539	1407
277	540	1404
278	542	1401
279	544	1399
280	545	1395
281	547	1392
282	548	1389
283	549	1386
284	551	1383
285	552	1380
286	554	1377
287	555	1374
288	557	1370
289	558	1368
290	560	1365
291	561	1361
292	563	1359
293	564	1356
294	566	1353
295	567	1350
296	568	1346
297	570	1344
298	572	1341
299	573	1338
300	575	1335
301	576	1332
302	578	1330
303	579	1327
304	580	1323
305	582	1321
306	584	1318
307	585	1315
308	586	1312
309	588	1309
310	589	1306
311	591	1303
312	592	1300
313	594	1297
314	595	1295
315	597	1292
316	598	1290
317	600	1287
318	601	1284
319	602	1281
320	604	1278
321	605	1275
322	607	1273
323	608	1270
324	610	1267
325	611	1265
326	613	1262
327	614	1259
328	616	1257
329	617	1254
330	619	1251
331	620	1248
332	621	1245
333	623	1242
334	624	1240
335	626	1237
336	628	1235
337	629	1232
338	630	1230
339	632	1227
340	633	1224
341	635	1221
342	636	1218
343	637	1216
344	639	1213
345	641	1211
346	642	1208
347	643	1206
348	645	1203
349	646	1200
350	647	1197
351	648	1194
352	650	1191
353	651	1189
354	653	1186
355	654	1184
356	655	1181
357	658	1180
358	659	1177
359	661	1175
360	662	1173
361	664	1170
362	665	1168
363	667	1165
364	668	1163
365	670	1160
366	671	1158
367	672	1155
368	673	1152
369	675	1149
370	676	1146
371	677	1144
372	679	1141
373	680	1138
374	681	1136
375	682	1133
376	684	1130
377	685	1127
378	686	1125
379	687	1122
380	689	1119
381	690	1117
382	691	1114
383	693	1112
384	694	1109
385	696	1107
386	697	1104
387	699	1103
388	701	1101
389	702	1099
390	704	1096
391	705	1094
392	707	1092
393	708	1089
394	709	1087
395	711	1084
396	712	1082
397	714	1080
398	721	1087
399	723	1085
400	725	1083
401	726	1080
402	728	1078
403	729	1076
404	731	1074
405	732	1071
406	733	1069
407	735	1066
408	736	1064
409	737	1061
410	739	1059
411	740	1057
412	742	1054
413	743	1052
414	745	1050
415	746	1048
416	748	1045
417	749	1043
418	750	1041
419	752	1039
420	753	1036
421	755	1034
422	756	1031
423	758	1029
424	760	1028
425	762	1026
426	763	1024
427	764	1022
428	766	1019
429	767	1017
430	769	1015
431	770	1013
432	772	1010
433	773	1008
434	774	1006
435	776	1004
436	777	1002
437	779	1000
438	780	997
439	781	995
440	783	992
441	784	990
442	785	988
443	787	985
444	788	983
445	790	981
446	791	979
447	793	977
448	794	975
449	796	973
450	797	970
451	798	968
452	800	966
453	801	964
454	803	962
455	804	959
456	806	958
457	807	955
458	808	953
459	810	951
460	811	949
461	813	947
462	814	944
463	816	943
464	818	941
465	819	939
466	820	936
467	822	935
468	824	933
469	825	931
470	827	929
471	828	927
472	830	925
473	831	922
474	833	920
475	834	918
476	836	917
477	838	915
478	839	913
479	841	911
480	842	908
481	843	906
482	845	904
483	846	902
484	848	900
485	849	898
486	851	896
487	853	895
488	854	893
489	856	891
490	857	889
491	859	887
492	860	884
493	861	882
494	863	880
495	864	878
496	866	876
497	867	874
498	868	872
499	870	870
500	871	868
501	873	866
502	874	864
503	875	862
504	877	859
505	878	857
506	880	855
507	881	853
508	883	852
509	884	850
510	886	848
511	887	845
512	888	843
513	890	841
514	891	839
515	893	837
516	894	835
517	895	833
518	897	831
519	898	829
520	900	827
521	901	825
522	902	823
523	903	821
524	905	818
525	906	816
526	907	814
527	909	812
528	910	810
529	911	808
530	913	806
531	914	804
532	916	802
533	917	800
534	919	798
535	920	796
536	922	794
537	923	792
538	924	790
539	925	788
540	927	787
541	929	785
542	930	783
543	931	781
544	933	779
545	935	777
546	936	775
547	937	773
548	938	771
549	940	769
550	941	767
551	943	765
552	944	763
553	945	761
554	947	759
555	948	757
556	949	755
557	951	753
558	952	751
559	954	749
560	955	747
561	957	746
562	958	744
563	960	742
564	961	740
565	962	738
566	964	736
567	965	734
568	966	732
569	968	730
570	969	728
571	971	726
572	973	725
573	974	723
574	976	721
575	977	719
576	979	718
577	981	716
578	982	714
579	984	712
580	985	710
581	987	709
582	989	708
583	991	706
584	993	704
585	994	702
586	995	700
587	997	698
588	998	696
589	1000	694
590	1001	693
591	1003	691
592	1004	689
593	1006	687
594	1007	685
595	1009	684
596	1010	682
597	1012	680
598	1014	678
599	1015	676
600	1017	675
601	1018	673
602	1021	672
603	1022	670
604	1024	668
605	1025	667
606	1029	666
607	1030	664
608	1032	662
609	1034	661
610	1036	660
611	1038	658
612	1039	656
613	1041	654
614	1042	652
615	1044	650
616	1045	649
617	1047	647
618	1048	645
619	1050	643
620	1051	641
621	1053	640
622	1054	638
623	1056	636
624	1057	634
625	1059	632
626	1060	631
627	1062	629
628	1064	627
629	1066	626
630	1067	624
